Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A;B365CH;B365CD;B365CA;AvgH;AvgD;AvgA;i ;Champion;ChampionshipAchieved;Win;Home;B365WinProb;B365CWinProb;AvgWinProb;GoalDiff;Points;AbsDays;Days
D1;16.08.19;Bayern Munich;Hertha;2;2;D;1.14;8;15;1.14;8;15;1.18;7.55;15.04;H;1;0;0;1;0.820681165;0.820681165;0.809881305;0;1;305;-305
D1;17.08.19;Dortmund;Augsburg;5;1;H;1.2;7;13;1.12;8;26;1.22;6.62;13.38;H;0;0;1;1;0.791304348;0.845253576;0.784024161;4;3;304;-304
D1;17.08.19;Freiburg;Mainz;3;0;H;2.25;3.25;3.4;2.55;3.3;2.7;2.2;3.37;3.36;H;0;0;1;1;0.424795771;0.36802974;0.433354255;3;3;304;-304
D1;17.08.19;Leverkusen;Paderborn;3;2;H;1.25;6;12;1.22;6.5;11;1.28;5.97;10.27;H;0;0;1;1;0.761904762;0.770059235;0.746803558;1;3;304;-304
D1;17.08.19;Werder Bremen;Fortuna Dusseldorf;1;3;A;1.75;3.75;4.75;1.66;4.2;4.5;1.74;3.93;4.57;H;0;0;0;1;0.544933078;0.566852618;0.548398326;-2;0;304;-304
D1;17.08.19;Wolfsburg;FC Koln;2;1;H;1.95;3.5;4;2.05;3.4;3.6;1.91;3.74;3.91;H;0;0;1;1;0.489082969;0.46032343;0.500203524;1;3;304;-304
D1;17.08.19;M'gladbach;Schalke 04;0;0;D;2;3.5;3.75;2.15;3.6;3.2;2.06;3.49;3.6;H;0;0;0;1;0.475113122;0.440703902;0.462432001;0;1;304;-304
D1;18.08.19;Ein Frankfurt;Hoffenheim;1;0;H;2.25;3.6;3;2.05;3.75;3.3;2.32;3.65;2.92;H;0;0;1;1;0.421052632;0.461280403;0.411499436;1;3;303;-303
D1;18.08.19;Union Berlin;RB Leipzig;0;4;A;5;3.8;1.7;4.5;4;1.72;4.63;4.02;1.72;H;0;0;0;1;0.190223793;0.21091355;0.206457931;-4;0;303;-303
D1;23.08.19;FC Koln;Dortmund;1;3;A;6.5;4.75;1.44;5.5;4.75;1.5;6.18;4.74;1.48;H;0;0;0;1;0.145300053;0.171686747;0.154333536;-2;0;298;-298
D1;24.08.19;Augsburg;Union Berlin;1;1;D;2.2;3.4;3.3;2.3;3.4;3;2.24;3.32;3.31;H;0;0;0;1;0.43220339;0.409309791;0.425272055;0;1;297;-297
D1;24.08.19;Fortuna Dusseldorf;Leverkusen;1;3;A;4.75;4;1.7;5;4.33;1.61;4.36;4.2;1.72;H;0;0;0;1;0.200738007;0.190102342;0.218675837;-2;0;297;-297
D1;24.08.19;Hoffenheim;Werder Bremen;3;2;H;1.85;3.6;4.2;2;3.6;3.6;1.88;3.92;3.83;H;0;0;1;1;0.511675127;0.473684211;0.507497397;1;3;297;-297
D1;24.08.19;Mainz;M'gladbach;1;3;A;2.9;3.4;2.4;2.62;3.4;2.7;2.86;3.42;2.46;H;0;0;0;1;0.326661329;0.364835864;0.333460166;-2;0;297;-297
